pl_name,st_rad,pl_rade,pl_orbsmax
"Kepler-1464 c",1.620000,1.54900000,0.0610100000
"Kepler-394 c",1.154000,1.81000000,0.1082000000
"Kepler-107 c",1.447000,1.59700000,0.0606400000
"Kepler-48 b",0.852000,1.89000000,0.0547000000
"Kepler-712 c",0.718000,4.48000000,0.6676000000
"Kepler-1096 b",0.594000,1.17000000,0.0336000000
"Kepler-1565 b",0.726000,1.18000000,0.0240000000
"Kepler-1188 b",1.090000,2.17000000,0.1344000000
"Kepler-1003 b",0.831000,1.29000000,0.0444000000
"KOI-984 b",0.871000,2.78000000,0.0516000000
"Kepler-666 b",0.969000,2.21000000,0.0542000000
"K2-320 b",0.300000,2.62000000,0.0142000000
"Kepler-33 d",1.694000,4.77000000,0.1577000000
"Kepler-1881 b",0.817000,2.59500000,0.5332500000
"Kepler-515 b",1.000000,1.75000000,0.1443000000
"Kepler-634 b",1.170000,1.67000000,0.0620000000
"Kepler-17 b",1.018000,14.48000000,0.0257000000
"Kepler-682 b",0.919000,7.66000000,0.1058000000
"Kepler-1498 b",1.453000,2.36000000,0.2528000000
"Kepler-651 b",0.849000,2.30300000,0.1407800000
"Kepler-184 c",0.848000,2.16000000,0.1395000000
"Kepler-1566 b",0.678000,0.68000000,0.0118000000
"Kepler-1201 b",1.080000,1.91000000,0.1230000000
"Kepler-25 c",1.309000,4.51000000,0.1130000000
"Kepler-230 c",0.830000,2.60000000,0.3870000000
"TOI-1443 b",0.751100,2.30381001,0.1470000000
"Kepler-1841 b",0.920000,1.78000000,0.1620000000
"TOI-942 b",0.893000,4.24200000,0.0498000000
"Kepler-912 b",0.806000,2.00000000,0.0339000000
"Kepler-309 c",0.490000,2.09000000,0.3490000000
"Kepler-903 b",0.854000,1.75000000,0.0912000000
"Kepler-1819 b",1.061000,78.51000000,0.1334000000
"Kepler-344 b",0.960000,3.00000000,0.1500000000
"Kepler-1821 b",0.877000,1.98000000,0.1255000000
"Kepler-1281 b",0.860000,1.69000000,0.0415000000
"Kepler-195 b",0.791000,2.22000000,0.0769000000
"Kepler-56 b",4.230000,4.96000000,0.1030000000
"Kepler-1436 b",1.130000,1.46000000,0.0920000000
"Kepler-371 c",0.992000,1.78000000,0.3130000000
"Kepler-1155 b",1.094000,2.15000000,0.2006000000
"Kepler-126 d",1.260000,2.89000000,0.4380000000
"Kepler-308 b",0.914000,2.23000000,0.0890000000
"Kepler-291 b",0.986000,2.17000000,0.0469000000
"Kepler-36 c",1.610000,3.44000000,0.1290000000
"Qatar-1 b",0.796000,12.80067800,0.0231300000
"WASP-39 b",0.895000,14.23500000,0.0486000000
"GJ 436 b",0.464000,4.22240000,0.0287200000
"CoRoT-20 b",1.340000,13.00244000,0.0892000000
"HAT-P-1 b",1.135000,13.92157800,0.0553000000
"Kepler-454 b",1.066000,2.37000000,0.0954000000
"TrES-4 b",1.816000,19.62695900,0.0509200000
"HD 149026 b",1.368000,7.33068600,0.0431300000
"HD 189733 b",0.756000,12.75600000,0.0309900000
"HD 209458 b",1.155000,15.23300000,0.0470700000
"CoRoT-2 b",0.901000,16.36514000,0.0283500000
"TrES-4 b",2.008520,20.16500000,0.0509100000
"HAT-P-30 b",1.215000,15.02000000,0.0419000000
